year month day directory start-time end-time folding-freq peak s/n freq de-disp disp-on dm
2016 08 28 data/2016-08-28/ 02:52 05:52 1.399651 8.664100 16.600100 422.0 2.0 ON 2.8
2016 08 29 data/2016-08-29/ 02:48 05:48 1.399651 11.245710 23.720098 422.0 2.0 ON 2.8
2016 08 30 data/2016-08-30/ 02:44 05:44 1.399651 10.748000 21.526500 422.0 2.0 ON 2.8
2016 08 31 data/2016-08-31/ 02:41 05:41 1.399651 6.024400 12.646300 422.0 2.0 ON 2.8
2016 09 01 data/2016-09-01/ 02:37 05:37 1.399651 5.804685 11.524510 422.0 2.0 ON 2.8
2016 09 02 data/2016-09-02/ 02:33 05:33 1.399651 7.934083 15.576881 422.0 2.0 ON 2.8
2016 09 03 data/2016-09-03/ 02:29 05:29 1.399651 5.946500 12.247700 422.0 2.0 ON 2.8
2016 09 04 data/2016-09-04/ 02:25 05:25 1.399650 11.001000 23.410400 422.0 2.0 ON 2.8
2016 09 05 data/2016-09-05/ 02:21 05:21 1.399650 7.540000 17.275100 422.0 2.0 ON 2.8
2016 09 06 data/2016-09-06/ 02:17 05:17 1.399650 9.041614 18.618515 422.0 2.0 ON 2.8
2016 09 07 data/2016-09-07/ 02:13 05:13 1.399650 12.091234 22.788705 422.0 2.0 ON 2.8
2016 09 08 data/2016-09-08/ 02:09 05:09 1.399650 11.196388 21.376437 422.0 2.0 ON 2.8
2016 09 09 data/2016-09-09/ 02:05 05:05 1.399649 9.626405 20.857005 422.0 2.0 ON 2.8
2016 09 10 data/2016-09-10/ 02:01 05:01 1.399649 9.488998 17.530661 422.0 2.0 ON 2.8
2016 09 11 data/2016-09-11/ 01:57 04:57 1.399648 8.326796 16.853298 422.0 2.0 ON 2.8
2016 09 12 data/2016-09-12/ 01:53 04:53 1.399648 7.647304 16.102080 422.0 2.0 ON 2.8
2016 09 13 data/2016-09-13/ 01:49 04:49 1.399647 8.275700 15.546175 422.0 2.0 ON 2.8
2016 09 14 data/2016-09-14/ 01:46 04:46 1.399647 9.362066 20.028913 422.0 2.0 ON 2.8
2016 09 15 data/2016-09-15/ 01:42 04:42 1.399646 7.262100 13.630400 422.0 2.0 ON 2.8
2016 09 16 data/2016-09-16/ 01:38 04:38 1.399646 8.379959 16.599886 422.0 2.0 ON 2.8
2016 09 17 data/2016-09-17/ 01:34 04:34 1.399645 6.965300 13.854600 422.0 2.0 ON 2.8
2016 09 18 data/2016-09-18/ 01:30 04:30 1.399644 12.087633 24.657836 422.0 2.0 ON 2.8
2016 09 19 data/2016-09-19/ 01:26 04:26 1.399644 9.862945 20.988122 422.0 2.0 ON 2.8
2016 09 20 data/2016-09-20/ 01:22 04:22 1.399643 6.537324 13.592618 422.0 2.0 ON 2.8
2016 09 21 data/2016-09-21/ 01:18 04:18 1.399642 6.370801 12.275536 422.0 2.0 ON 2.8
2016 09 22 data/2016-09-22/ 01:14 04:14 1.399642 9.212335 19.378801 422.0 2.0 ON 2.8
2016 09 23 data/2016-09-23/ 01:10 04:10 1.399641 8.149558 16.284584 422.0 2.0 ON 2.8
2016 09 24 data/2016-09-24/ 01:06 04:06 1.399640 9.325965 20.116062 422.0 2.0 ON 2.8
2016 09 25 data/2016-09-25/ 01:02 04:02 1.399639 9.811510 18.547491 422.0 2.0 ON 2.8
2016 09 26 data/2016-09-26/ 00:58 03:58 1.399638 7.197122 13.557076 422.0 2.0 ON 2.8
2016 09 27 data/2016-09-27/ 00:54 03:54 1.399637 8.086163 7.164747 422.0 2.0 ON 2.8
2016 09 28 data/2016-09-28/ 00:50 03:50 1.399636 9.066249 18.334147 422.0 2.0 ON 2.8
2016 09 29 data/2016-09-29/ 00:47 03:47 1.399635 8.822971 17.038078 422.0 2.0 ON 2.8
2016 09 30 data/2016-09-30/ 00:43 03:43 1.399634 9.018358 18.774441 422.0 2.0 ON 2.8
2016 10 01 data/2016-10-01/ 00:39 03:39 1.399633 8.675018 15.997818 422.0 2.0 ON 2.8
2016 10 02 data/2016-10-02/ 00:35 03:35 1.399632 6.759720 14.875348 422.0 2.0 ON 2.8
2016 10 03 data/2016-10-03/ 00:31 03:31 1.399631 6.695327 14.288247 422.0 2.0 ON 2.8
2016 10 04 data/2016-10-04/ 00:27 03:27 1.399630 7.615000 13.544200 422.0 2.0 ON 2.8
2016 10 05 data/2016-10-05/ 00:23 03:23 1.399628 6.195490 12.259248 422.0 2.0 ON 2.8
2016 10 06 data/2016-10-06/ 00:19 03:19 1.399627 6.876312 13.071832 422.0 2.0 ON 2.8
2016 10 07 data/2016-10-07/ 00:15 03:15 1.399626 7.470662 12.865300 422.0 2.0 ON 2.8
2016 10 08 data/2016-10-08/ 00:11 03:11 1.399625 8.005123 14.143686 422.0 2.0 ON 2.8
2016 10 09 data/2016-10-09/ 00:07 03:07 1.399624 9.551618 17.352084 422.0 2.0 ON 2.8
2016 10 10 data/2016-10-10/ 00:03 03:03 1.399622 8.438381 18.092902 422.0 2.0 ON 2.8
2016 10 10 data/2016-10-10/ 23:59 02:59 1.399621 9.221232 17.310944 422.0 2.0 ON 2.8
2016 10 11 data/2016-10-11/ 23:55 02:55 1.399620 9.931238 18.005396 422.0 2.0 ON 2.8
2016 10 12 data/2016-10-12/ 23:51 02:51 1.399618 9.984790 18.603819 422.0 2.0 ON 2.8
2016 10 13 data/2016-10-13/ 23:48 02:48 1.399617 8.804553 16.581092 422.0 2.0 ON 2.8
2016 10 14 data/2016-10-14/ 23:44 02:44 1.399615 8.251347 16.032996 422.0 2.0 ON 2.8
2016 10 15 data/2016-10-15/ 23:40 02:40 1.399614 8.958430 15.494232 422.0 2.0 ON 2.8
2016 10 16 data/2016-10-16/ 23:36 02:36 1.399612 8.803701 17.579598 422.0 2.0 ON 2.8
2016 10 17 data/2016-10-17/ 23:32 02:32 1.399611 7.622521 14.869218 422.0 2.0 ON 2.8
2016 10 18 data/2016-10-18/ 23:28 02:28 1.399609 8.845793 15.205024 422.0 2.0 ON 2.8
2016 10 19 data/2016-10-19/ 23:24 02:24 1.399608 6.789689 13.356419 422.0 2.0 ON 2.8
2016 10 20 data/2016-10-20/ 23:20 02:20 1.399606 6.410392 14.129983 422.0 2.0 ON 2.8
2016 10 21 data/2016-10-21/ 23:16 02:16 1.399605 9.688262 17.134580 422.0 2.0 ON 2.8
2016 10 22 data/2016-10-22/ 23:12 02:12 1.399603 10.141264 17.817657 422.0 2.0 ON 2.8
2016 10 23 data/2016-10-23/ 23:08 02:08 1.399602 10.717508 20.713882 422.0 2.0 ON 2.8
2016 10 24 data/2016-10-24/ 23:04 02:04 1.399600 8.723238 16.698549 422.0 2.0 ON 2.8
2016 10 25 data/2016-10-25/ 23:00 02:00 1.399598 11.276613 21.804467 422.0 2.0 ON 2.8
2016 10 26 data/2016-10-26/ 22:56 01:56 1.399596 7.485485 16.536902 422.0 2.0 ON 2.8
2016 10 27 data/2016-10-27/ 22:53 01:53 1.399595 7.962455 16.079604 422.0 2.0 ON 2.8
2016 10 28 data/2016-10-28/ 22:49 01:49 1.399593 6.912576 14.254648 422.0 2.0 ON 2.8
2016 10 29 data/2016-10-29/ 22:45 01:45 1.399591 7.632862 15.640671 422.0 2.0 ON 2.8
2016 10 30 data/2016-10-30/ 22:41 01:41 1.399590 7.127509 14.951409 422.0 2.0 ON 2.8
2016 11 01 data/2016-11-01/ 22:33 01:33 1.399586 9.147963 17.767090 422.0 2.0 ON 2.8
2016 11 02 data/2016-11-02/ 22:29 01:29 1.399584 7.716634 15.426636 422.0 2.0 ON 2.8
2016 11 03 data/2016-11-03/ 22:25 01:25 1.399582 7.840300 15.344752 422.0 2.0 ON 2.8
2016 11 04 data/2016-11-04/ 22:21 01:21 1.399580 6.852677 13.730621 422.0 2.0 ON 2.8
2016 11 07 data/2016-11-07/ 22:09 01:09 1.399575 9.895600 18.944900 422.0 2.0 ON 2.8
2016 11 08 data/2016-11-08/ 22:05 01:05 1.399573 12.558247 24.582719 422.0 2.0 ON 2.8
2016 11 09 data/2016-11-09/ 22:01 01:01 1.399571 9.651886 19.361601 422.0 2.0 ON 2.8
2016 11 10 data/2016-11-10/ 21:57 00:57 1.399569 9.044802 18.582616 422.0 2.0 ON 2.8
2016 11 11 data/2016-11-11/ 21:54 00:54 1.399567 7.906026 15.504722 422.0 2.0 ON 2.8
2016 11 12 data/2016-11-12/ 21:50 00:50 1.399565 9.962808 18.772201 422.0 2.0 ON 2.8
2016 11 13 data/2016-11-13/ 21:46 00:46 1.399563 9.500274 18.490369 422.0 2.0 ON 2.8
2016 11 14 data/2016-11-14/ 21:42 00:42 1.399561 7.016967 14.777703 422.0 2.0 ON 2.8
2016 11 15 data/2016-11-15/ 21:38 00:38 1.399559 5.928492 10.796378 422.0 2.0 ON 2.8
2016 11 16 data/2016-11-16/ 21:34 00:34 1.399557 7.014512 15.195750 422.0 2.0 ON 2.8
2016 11 17 data/2016-11-17/ 21:30 00:30 1.399555 6.494462 12.384800 422.0 2.0 ON 2.8
2016 11 18 data/2016-11-18/ 21:26 00:26 1.399553 6.755504 13.521846 422.0 2.0 ON 2.8
2016 11 19 data/2016-11-19/ 21:22 00:22 1.399551 7.545839 14.832360 422.0 2.0 ON 2.8
2016 11 20 data/2016-11-20/ 21:18 00:18 1.399549 6.607313 11.834599 422.0 2.0 ON 2.8
2016 11 21 data/2016-11-21/ 21:14 00:14 1.399547 7.745992 15.553026 422.0 2.0 ON 2.8
2016 11 22 data/2016-11-22/ 21:10 00:10 1.399545 7.376785 14.821255 422.0 2.0 ON 2.8
2016 11 23 data/2016-11-23/ 21:06 00:06 1.399543 6.870439 13.610017 422.0 2.0 ON 2.8
2016 11 24 data/2016-11-24/ 21:02 00:02 1.399541 7.433518 14.347471 422.0 2.0 ON 2.8
2016 11 25 data/2016-11-25/ 20:58 23:58 1.399539 7.015529 14.967411 422.0 2.0 ON 2.8
2016 11 26 data/2016-11-26/ 20:55 23:55 1.399537 7.973738 16.565405 422.0 2.0 ON 2.8
2016 11 27 data/2016-11-27/ 20:51 23:51 1.399535 6.544590 13.588893 422.0 2.0 ON 2.8
2016 11 28 data/2016-11-28/ 20:47 23:47 1.399533 7.089622 13.720998 422.0 2.0 ON 2.8
2016 11 29 data/2016-11-29/ 20:43 23:43 1.399531 6.621617 12.181098 422.0 2.0 ON 2.8
2016 11 30 data/2016-11-30/ 20:39 23:39 1.399529 8.282509 15.831842 422.0 2.0 ON 2.8
2016 12 01 data/2016-12-01/ 20:35 23:35 1.399527 8.248271 17.239618 422.0 2.0 ON 2.8
2016 12 02 data/2016-12-02/ 20:31 23:31 1.399525 8.022192 14.266991 422.0 2.0 ON 2.8
2016 12 03 data/2016-12-03/ 20:27 23:27 1.399523 7.935643 15.787581 422.0 2.0 ON 2.8
2016 12 04 data/2016-12-04/ 20:23 23:23 1.399521 7.649240 13.978111 422.0 2.0 ON 2.8
2016 12 05 data/2016-12-05/ 20:19 23:19 1.399519 10.150422 19.870145 422.0 2.0 ON 2.8
2016 12 06 data/2016-12-06/ 20:15 23:15 1.399517 8.188119 16.244814 422.0 2.0 ON 2.8
2016 12 07 data/2016-12-07/ 20:11 23:11 1.399515 7.996513 16.391682 422.0 2.0 ON 2.8
2016 12 08 data/2016-12-08/ 20:07 23:07 1.399513 6.873584 11.735182 422.0 2.0 ON 2.8
2016 12 09 data/2016-12-09/ 20:03 23:03 1.399511 7.800921 14.794245 422.0 2.0 ON 2.8
2016 12 10 data/2016-12-10/ 20:00 23:00 1.399509 6.789131 13.677981 422.0 2.0 ON 2.8
